Interval=	0.00025 s		 
ExcelDateTime=	4.2864592655869426e+004	5/9/2017 14:13:25.467118		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
133.555	0.309	0.289	-0.056	-0.075	0.000	0.244	-0.003
133.55525	0.380	0.298	-0.047	-0.137	-0.001	0.243	-0.002
133.5555	0.428	0.301	-0.042	-0.200	-0.000	0.243	-0.003
133.55575	0.443	0.295	-0.034	-0.274	0.000	0.243	-0.002
133.556	0.429	0.282	-0.019	-0.354	0.000	0.243	-0.002
133.55625	0.397	0.275	0.005	-0.418	0.000	0.244	-0.002
133.5565	0.364	0.286	0.030	-0.434	0.001	0.244	-0.002
133.55675	0.341	0.323	0.049	-0.381	0.000	0.243	-0.002
133.557	0.334	0.387	0.053	-0.255	0.000	0.243	-0.002
133.55725	0.342	0.466	0.040	-0.077	0.001	0.243	-0.003
133.5575	0.356	0.542	0.015	0.120	0.000	0.243	-0.002
133.55775	0.369	0.600	-0.016	0.305	0.000	0.243	-0.002
133.558	0.377	0.629	-0.041	0.462	4.956	0.244	-0.859
133.55825	0.377	0.632	-0.054	0.592	4.956	0.244	-0.860
133.5585	0.369	0.620	-0.052	0.704	4.958	0.244	0.853
133.55875	0.357	0.603	-0.038	0.795	4.958	0.243	0.857
133.559	0.342	0.583	-0.017	0.844	0.001	0.243	-0.000
133.55925	0.326	0.554	0.008	0.818	0.000	0.243	-0.002
133.5595	0.309	0.501	0.037	0.693	0.001	0.243	-0.003
133.55975	0.295	0.414	0.071	0.484	0.000	0.243	-0.002
133.56	0.288	0.296	0.113	0.258	0.001	0.244	-0.003
133.56025	0.290	0.171	0.161	0.127	0.000	0.244	-0.003
133.5605	0.301	0.072	0.206	0.203	0.000	0.243	-0.002
133.56075	0.316	0.028	0.236	0.548	0.001	0.243	-0.003
133.561	0.325	0.044	0.240	1.129	0.001	0.243	-0.002
133.56125	0.319	0.084	0.211	1.803	0.000	0.243	-0.003
133.5615	0.288	0.073	0.153	2.354	0.001	0.243	-0.003
133.56175	0.233	-0.078	0.080	2.569	0.001	0.243	-0.002
133.562	0.163	-0.446	0.013	2.311	0.001	0.244	-0.002
