Interval=	0.00025 s		 
ExcelDateTime=	4.2864589612427815e+004	5/9/2017 14:09:02.513764		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
307.4	0.140	0.008	0.430	0.676	0.001	0.244	-0.002
307.40025	0.166	-0.011	0.555	0.279	0.001	0.243	-0.002
307.4005	0.196	-0.048	0.612	-0.029	-0.000	0.243	-0.002
307.40075	0.221	-0.092	0.589	-0.213	0.000	0.244	-0.002
307.401	0.236	-0.131	0.494	-0.287	0.000	0.243	-0.002
307.40125	0.245	-0.158	0.354	-0.295	0.000	0.243	-0.003
307.4015	0.258	-0.169	0.201	-0.289	0.000	0.243	-0.003
307.40175	0.282	-0.170	0.066	-0.306	0.000	0.243	-0.003
307.402	0.320	-0.166	-0.038	-0.355	0.000	0.243	-0.002
307.40225	0.361	-0.164	-0.108	-0.425	0.000	0.243	-0.002
307.4025	0.386	-0.168	-0.157	-0.495	0.000	0.244	-0.002
307.40275	0.368	-0.177	-0.199	-0.551	-0.000	0.243	-0.002
307.403	0.287	-0.186	-0.247	-0.592	0.000	0.243	-0.003
307.40325	0.137	-0.191	-0.302	-0.626	0.000	0.243	-0.002
307.4035	-0.070	-0.183	-0.358	-0.662	0.000	0.243	-0.003
307.40375	-0.304	-0.158	-0.401	-0.702	0.001	0.243	-0.002
307.404	-0.527	-0.109	-0.422	-0.738	0.000	0.243	-0.003
307.40425	-0.702	-0.032	-0.416	-0.753	0.000	0.243	-0.003
307.4045	-0.804	0.073	-0.392	-0.733	0.000	0.243	-0.002
307.40475	-0.828	0.203	-0.361	-0.674	0.000	0.243	-0.002
307.405	-0.787	0.345	-0.337	-0.583	-0.000	0.243	-0.003
307.40525	-0.705	0.482	-0.330	-0.473	0.001	0.243	-0.002
307.4055	-0.607	0.595	-0.338	-0.360	0.000	0.243	-0.002
307.40575	-0.513	0.667	-0.352	-0.252	0.001	0.243	-0.002
307.406	-0.433	0.692	-0.360	-0.149	0.000	0.243	-0.003
307.40625	-0.368	0.675	-0.354	-0.046	0.000	0.243	-0.003
307.4065	-0.314	0.632	-0.332	0.061	0.000	0.243	-0.002
307.40675	-0.266	0.578	-0.302	0.172	0.000	0.243	-0.002
307.407	-0.221	0.524	-0.272	0.275	0.000	0.243	-0.002
307.40725	-0.178	0.468	-0.247	0.358	0.000	0.243	-0.003
307.4075	-0.139	0.397	-0.223	0.409	0.000	0.243	-0.002
307.40775	-0.104	0.292	-0.193	0.426	0.001	0.244	-0.003
307.408	-0.072	0.139	-0.152	0.418	0.001	0.243	-0.002
307.40825	-0.042	-0.062	-0.105	0.398	0.001	0.243	-0.003
307.4085	-0.012	-0.288	-0.071	0.382	0.001	0.243	-0.002
307.40875	0.017	-0.503	-0.078	0.376	0.001	0.243	-0.002
307.409	0.045	-0.667	-0.150	0.378	0.000	0.244	-0.002
307.40925	0.070	-0.750	-0.294	0.378	0.000	0.243	-0.002
307.4095	0.088	-0.746	-0.486	0.360	0.000	0.244	-0.002
307.40975	0.099	-0.671	-0.680	0.316	0.001	0.243	-0.003
307.41	0.105	-0.557	-0.821	0.243	0.000	0.243	-0.002
307.41025	0.108	-0.441	-0.867	0.147	0.000	0.244	-0.002
307.4105	0.109	-0.348	-0.813	0.039	0.001	0.243	-0.002
307.41075	0.112	-0.284	-0.693	-0.072	0.000	0.243	-0.003
307.411	0.116	-0.239	-0.568	-0.179	0.000	0.243	-0.002
307.41125	0.121	-0.196	-0.497	-0.281	0.001	0.243	-0.003
307.4115	0.125	-0.140	-0.509	-0.379	0.000	0.243	-0.002
307.41175	0.129	-0.069	-0.580	-0.471	0.000	0.243	-0.003
307.412	0.130	0.009	-0.638	-0.551	0.000	0.244	-0.002
307.41225	0.129	0.079	-0.589	-0.610	0.000	0.244	-0.003
307.4125	0.128	0.130	-0.354	-0.635	0.000	0.243	-0.003
307.41275	0.128	0.162	0.096	-0.618	0.001	0.244	-0.002
307.413	0.131	0.182	0.716	-0.560	0.000	0.243	-0.003
307.41325	0.137	0.202	1.404	-0.467	0.000	0.243	-0.003
307.4135	0.148	0.232	2.027	-0.356	0.000	0.243	-0.002
307.41375	0.162	0.267	2.464	-0.239	0.000	0.243	-0.002
