Interval=	0.00025 s		
ExcelDateTime=	4.2864592740909931e+004	5/9/2017 14:13:32.814618		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
140.9025	-0.050	0.447	-0.474	0.808	0.000	0.244	-0.002
140.90275	-0.017	0.457	-0.590	0.879	0.000	0.243	-0.002
140.903	0.011	0.474	-0.704	0.932	0.000	0.243	-0.003
140.90325	0.047	0.490	-0.803	0.958	0.000	0.243	-0.002
140.9035	0.089	0.494	-0.870	0.954	0.000	0.244	-0.003
140.90375	0.129	0.481	-0.888	0.925	0.000	0.243	-0.003
140.904	0.154	0.453	-0.840	0.888	-0.000	0.243	-0.003
140.90425	0.160	0.419	-0.720	0.862	0.000	0.243	-0.003
140.9045	0.153	0.391	-0.537	0.856	0.000	0.243	-0.003
140.90475	0.145	0.376	-0.319	0.865	0.000	0.243	-0.003
140.905	0.144	0.374	-0.100	0.866	0.000	0.244	-0.002
140.90525	0.154	0.373	0.086	0.831	0.000	0.243	-0.003
140.9055	0.167	0.359	0.220	0.741	0.000	0.243	-0.002
140.90575	0.169	0.323	0.302	0.595	0.000	0.243	-0.003
140.906	0.149	0.268	0.350	0.418	0.000	0.243	-0.003
140.90625	0.102	0.208	0.387	0.247	0.000	0.244	-0.002
140.9065	0.038	0.162	0.429	0.114	0.000	0.244	-0.003
140.90675	-0.027	0.143	0.474	0.030	0.000	0.244	-0.002
140.907	-0.070	0.148	0.508	-0.017	0.000	0.244	-0.003
140.90725	-0.080	0.161	0.513	-0.054	0.000	0.244	-0.003
140.9075	-0.051	0.160	0.481	-0.099	0.000	0.243	-0.002
140.90775	0.008	0.135	0.423	-0.151	0.000	0.244	-0.003
140.908	0.080	0.094	0.364	-0.180	4.956	0.244	-0.916
140.90825	0.148	0.066	0.333	-0.155	4.956	0.244	-0.917
140.9085	0.201	0.082	0.342	-0.061	4.957	0.243	0.911
140.90875	0.233	0.160	0.379	0.073	4.958	0.244	0.915
140.909	0.248	0.284	0.410	0.177	0.001	0.243	-0.001
140.90925	0.253	0.410	0.401	0.173	0.001	0.243	-0.002
140.9095	0.254	0.484	0.337	0.022	0.000	0.243	-0.002
140.90975	0.257	0.468	0.237	-0.244	0.001	0.243	-0.003
140.91	0.262	0.362	0.153	-0.508	0.000	0.243	-0.002
