Interval=	0.00025 s		
ExcelDateTime=	4.2864589696759416e+004	5/9/2017 14:09:09.800014		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
314.68625	-0.349	-0.018	-0.150	-0.438	0.000	0.243	-0.002
314.6865	-0.307	-0.008	-0.179	-0.299	0.000	0.243	-0.002
314.68675	-0.253	-0.004	-0.199	-0.169	0.000	0.243	-0.003
314.687	-0.194	-0.008	-0.209	-0.076	0.000	0.243	-0.003
314.68725	-0.132	-0.015	-0.208	-0.029	0.000	0.243	-0.003
314.6875	-0.068	-0.020	-0.199	-0.020	0.000	0.243	-0.002
314.68775	-0.004	-0.019	-0.185	-0.028	0.001	0.243	-0.003
314.688	0.056	-0.008	-0.169	-0.029	0.000	0.243	-0.002
314.68825	0.104	0.011	-0.154	-0.004	0.000	0.243	-0.003
314.6885	0.131	0.031	-0.140	0.057	0.000	0.243	-0.002
314.68875	0.129	0.046	-0.126	0.154	-0.000	0.243	-0.002
314.689	0.098	0.053	-0.113	0.281	0.000	0.243	-0.002
314.68925	0.046	0.055	-0.098	0.429	0.000	0.244	-0.003
314.6895	-0.013	0.057	-0.083	0.588	0.001	0.243	-0.002
314.68975	-0.063	0.068	-0.066	0.742	0.000	0.243	-0.002
314.69	-0.092	0.090	-0.047	0.874	0.000	0.243	-0.003
314.69025	-0.096	0.122	-0.027	0.961	0.000	0.243	-0.003
314.6905	-0.079	0.153	-0.006	0.982	0.000	0.244	-0.002
314.69075	-0.053	0.176	0.017	0.925	0.000	0.243	-0.002
314.691	-0.026	0.189	0.040	0.795	0.000	0.243	-0.002
314.69125	-0.006	0.201	0.059	0.616	0.001	0.243	-0.002
314.6915	0.006	0.229	0.074	0.424	0.000	0.244	-0.003
314.69175	0.013	0.288	0.083	0.254	0.000	0.243	-0.003
314.692	0.018	0.382	0.088	0.126	0.001	0.244	-0.003
314.69225	0.023	0.493	0.090	0.038	0.000	0.243	-0.003
314.6925	0.026	0.586	0.092	-0.034	0.000	0.243	-0.002
314.69275	0.023	0.624	0.097	-0.122	0.000	0.243	-0.002
314.693	0.011	0.582	0.105	-0.248	0.001	0.243	-0.003
314.69325	-0.007	0.464	0.116	-0.408	0.000	0.243	-0.003
314.6935	-0.026	0.313	0.127	-0.570	0.000	0.243	-0.002
314.69375	-0.036	0.191	0.134	-0.688	0.000	0.244	-0.002
314.694	-0.032	0.161	0.136	-0.717	0.000	0.243	-0.002
314.69425	-0.010	0.252	0.135	-0.643	0.001	0.243	-0.003
314.6945	0.024	0.441	0.132	-0.489	0.000	0.244	-0.003
314.69475	0.059	0.652	0.132	-0.311	4.955	0.244	-0.755
314.695	0.083	0.780	0.137	-0.176	4.956	0.243	-0.756
314.69525	0.089	0.728	0.147	-0.132	4.958	0.243	0.750
314.6955	0.075	0.451	0.161	-0.190	4.958	0.243	0.753
314.69575	0.048	-0.020	0.172	-0.314	0.001	0.244	-0.001
314.696	0.015	-0.573	0.178	-0.443	0.001	0.243	-0.002
314.69625	-0.011	-1.049	0.176	-0.509	0.001	0.243	-0.002
314.6965	-0.026	-1.291	0.168	-0.477	0.001	0.243	-0.002
314.69675	-0.028	-1.197	0.156	-0.353	0.001	0.244	-0.002
314.697	-0.023	-0.759	0.145	-0.183	0.001	0.244	-0.001
314.69725	-0.018	-0.070	0.138	-0.029	0.001	0.243	-0.002
314.6975	-0.017	0.695	0.134	0.060	-0.001	0.243	-0.003
314.69775	-0.023	1.332	0.129	0.075	0.001	0.243	-0.003
314.698	-0.033	1.668	0.120	0.047	0.000	0.243	-0.002
314.69825	-0.041	1.606	0.101	0.038	0.000	0.244	-0.002
314.6985	-0.043	1.155	0.070	0.109	-0.000	0.243	-0.002
314.69875	-0.036	0.421	0.031	0.290	0.000	0.244	-0.002
314.699	-0.018	-0.426	-0.010	0.566	0.001	0.244	-0.003
314.69925	0.007	-1.203	-0.044	0.876	0.000	0.243	-0.002
314.6995	0.034	-1.761	-0.064	1.138	0.001	0.243	-0.002
314.69975	0.061	-2.024	-0.067	1.276	0.001	0.243	-0.003
314.7	0.085	-1.994	-0.051	1.248	0.001	0.244	-0.002
314.70025	0.105	-1.740	-0.022	1.058	0.000	0.243	-0.003
314.7005	0.122	-1.366	0.013	0.751	0.001	0.244	-0.002
314.70075	0.137	-0.977	0.047	0.392	0.000	0.244	-0.002
314.701	0.149	-0.650	0.074	0.046	0.001	0.243	-0.002
314.70125	0.156	-0.417	0.093	-0.248	0.000	0.243	-0.002
314.7015	0.158	-0.274	0.102	-0.478	0.000	0.243	-0.003
314.70175	0.153	-0.193	0.103	-0.654	0.000	0.243	-0.003
314.702	0.140	-0.140	0.101	-0.798	0.001	0.243	-0.003
314.70225	0.120	-0.090	0.095	-0.926	0.000	0.243	-0.003
314.7025	0.096	-0.035	0.087	-1.041	0.000	0.243	-0.002
314.70275	0.071	0.022	0.076	-1.131	0.000	0.243	-0.002
314.703	0.047	0.075	0.062	-1.178	-0.000	0.243	-0.002
314.70325	0.026	0.117	0.044	-1.165	-0.000	0.244	-0.003
314.7035	0.011	0.152	0.022	-1.084	0.000	0.244	-0.002
314.70375	0.001	0.184	-0.003	-0.941	-0.000	0.243	-0.002
314.704	-0.003	0.218	-0.029	-0.752	-0.000	0.243	-0.003
314.70425	-0.004	0.251	-0.056	-0.540	0.000	0.243	-0.002
314.7045	-0.000	0.274	-0.081	-0.325	0.001	0.244	-0.002
314.70475	0.005	0.272	-0.106	-0.124	0.001	0.244	-0.003
314.705	0.011	0.233	-0.130	0.052	0.001	0.244	-0.003
314.70525	0.016	0.153	-0.152	0.200	0.001	0.243	-0.003
314.7055	0.018	0.039	-0.171	0.315	0.000	0.244	-0.003
314.70575	0.015	-0.092	-0.188	0.401	0.001	0.243	-0.002
314.706	0.005	-0.217	-0.201	0.458	0.000	0.243	-0.003
314.70625	-0.010	-0.316	-0.208	0.492	0.001	0.244	-0.003
314.7065	-0.031	-0.377	-0.211	0.508	0.000	0.243	-0.003
314.70675	-0.053	-0.397	-0.208	0.515	0.000	0.243	-0.002
314.707	-0.071	-0.386	-0.200	0.519	0.001	0.243	-0.002
314.70725	-0.082	-0.354	-0.191	0.525	0.000	0.243	-0.002
314.7075	-0.082	-0.315	-0.179	0.534	0.001	0.243	-0.002
314.70775	-0.070	-0.278	-0.168	0.542	0.001	0.243	-0.002
314.708	-0.049	-0.245	-0.157	0.544	0.000	0.243	-0.002
314.70825	-0.024	-0.213	-0.146	0.533	0.000	0.243	-0.003
314.7085	-0.000	-0.174	-0.136	0.505	0.000	0.244	-0.003
314.70875	0.016	-0.121	-0.125	0.458	0.000	0.244	-0.003
314.709	0.023	-0.054	-0.115	0.393	0.000	0.243	-0.002
314.70925	0.020	0.024	-0.104	0.312	0.001	0.243	-0.002
314.7095	0.011	0.099	-0.093	0.219	-0.000	0.244	-0.003
314.70975	0.001	0.154	-0.081	0.115	0.000	0.243	-0.003
314.71	-0.006	0.173	-0.067	0.006	0.000	0.244	-0.003
314.71025	-0.007	0.147	-0.053	-0.105	0.000	0.244	-0.002
314.7105	-0.002	0.082	-0.037	-0.211	0.000	0.243	-0.002
314.71075	0.008	-0.000	-0.018	-0.306	0.000	0.243	-0.002
314.711	0.017	-0.072	0.002	-0.382	0.000	0.243	-0.002
314.71125	0.024	-0.103	0.024	-0.432	0.000	0.243	-0.002
314.7115	0.025	-0.075	0.046	-0.453	0.000	0.243	-0.002
314.71175	0.022	0.011	0.068	-0.443	0.001	0.243	-0.002
314.712	0.015	0.133	0.086	-0.404	0.000	0.243	-0.002
314.71225	0.008	0.256	0.099	-0.337	0.000	0.244	-0.002
314.7125	0.005	0.347	0.104	-0.248	0.001	0.244	-0.003
314.71275	0.005	0.386	0.102	-0.141	0.001	0.244	-0.003
314.713	0.008	0.378	0.091	-0.026	0.000	0.243	-0.002
314.71325	0.013	0.352	0.073	0.085	0.001	0.243	-0.002
314.7135	0.016	0.345	0.051	0.183	0.001	0.244	-0.002
314.71375	0.016	0.392	0.029	0.262	0.001	0.243	-0.002
314.714	0.012	0.502	0.010	0.321	0.001	0.244	-0.002
314.71425	0.007	0.661	-0.002	0.368	0.001	0.243	-0.002
314.7145	0.005	0.828	-0.008	0.413	0.000	0.243	-0.003
314.71475	0.008	0.957	-0.006	0.464	0.000	0.243	-0.003
314.715	0.017	1.012	0.001	0.521	0.000	0.243	-0.002
314.71525	0.031	0.985	0.012	0.572	-0.000	0.244	-0.002
314.7155	0.048	0.890	0.025	0.599	-0.000	0.243	-0.002
314.71575	0.064	0.762	0.038	0.584	0.000	0.243	-0.003
314.716	0.074	0.630	0.049	0.518	0.000	0.243	-0.002
314.71625	0.079	0.509	0.059	0.411	0.000	0.243	-0.002
314.7165	0.078	0.390	0.066	0.284	0.001	0.243	-0.003
314.71675	0.074	0.246	0.072	0.168	0.001	0.243	-0.003
314.717	0.070	0.051	0.076	0.085	0.001	0.243	-0.002
314.71725	0.067	-0.204	0.078	0.039	0.001	0.244	-0.002
314.7175	0.066	-0.503	0.079	0.016	0.000	0.243	-0.003
314.71775	0.064	-0.801	0.080	-0.013	0.000	0.243	-0.002
314.718	0.061	-1.044	0.080	-0.076	0.000	0.244	-0.003
314.71825	0.057	-1.186	0.080	-0.182	0.000	0.243	-0.003
314.7185	0.051	-1.199	0.078	-0.320	0.000	0.243	-0.002
314.71875	0.047	-1.088	0.074	-0.462	0.001	0.243	-0.002
314.719	0.044	-0.878	0.067	-0.571	0.000	0.244	-0.003
314.71925	0.045	-0.603	0.059	-0.626	0.000	0.243	-0.003
314.7195	0.048	-0.297	0.050	-0.625	0.001	0.243	-0.003
314.71975	0.050	0.013	0.041	-0.591	4.956	0.243	-0.754
314.72	0.049	0.309	0.034	-0.555	4.956	0.243	-0.756
314.72025	0.043	0.571	0.027	-0.538	4.957	0.244	0.750
314.7205	0.034	0.781	0.020	-0.545	4.957	0.244	0.753
314.72075	0.023	0.920	0.010	-0.558	0.001	0.243	-0.001
314.721	0.014	0.980	-0.005	-0.549	0.001	0.243	-0.002
314.72125	0.007	0.971	-0.025	-0.495	0.001	0.243	-0.002
314.7215	0.005	0.926	-0.049	-0.397	0.001	0.243	-0.002
314.72175	0.005	0.889	-0.071	-0.278	0.001	0.243	-0.003
314.722	0.003	0.896	-0.088	-0.177	0.001	0.243	-0.002
314.72225	-0.001	0.956	-0.095	-0.127	0.000	0.243	-0.002
314.7225	-0.008	1.035	-0.090	-0.137	0.000	0.243	-0.002
314.72275	-0.019	1.060	-0.075	-0.186	0.000	0.243	-0.002
314.723	-0.029	0.948	-0.053	-0.231	0.000	0.244	-0.002
314.72325	-0.036	0.633	-0.028	-0.227	0.000	0.243	-0.003
314.7235	-0.039	0.107	-0.007	-0.145	0.000	0.243	-0.002
314.72375	-0.037	-0.570	0.009	0.010	0.000	0.243	-0.003
314.724	-0.031	-1.271	0.018	0.202	0.001	0.243	-0.002
314.72425	-0.021	-1.844	0.021	0.382	0.000	0.243	-0.003
314.7245	-0.009	-2.152	0.022	0.505	0.000	0.244	-0.002
314.72475	0.004	-2.121	0.022	0.556	0.000	0.243	-0.002
314.725	0.019	-1.765	0.022	0.543	0.001	0.244	-0.002
314.72525	0.033	-1.179	0.024	0.501	0.001	0.243	-0.003
314.7255	0.044	-0.512	0.027	0.463	0.001	0.243	-0.003
314.72575	0.050	0.082	0.030	0.448	0.001	0.244	-0.002
314.726	0.048	0.491	0.031	0.454	0.000	0.244	-0.002
314.72625	0.036	0.671	0.030	0.454	0.001	0.244	-0.002
314.7265	0.015	0.655	0.026	0.419	0.001	0.243	-0.002
314.72675	-0.013	0.527	0.021	0.328	0.000	0.243	-0.003
314.727	-0.043	0.388	0.015	0.180	0.000	0.243	-0.002
314.72725	-0.072	0.313	0.009	-0.005	0.000	0.243	-0.002
314.7275	-0.094	0.329	0.004	-0.194	-0.000	0.243	-0.002
314.72775	-0.109	0.405	0.001	-0.354	0.000	0.243	-0.002
314.728	-0.118	0.474	-0.001	-0.464	0.000	0.243	-0.003
314.72825	-0.121	0.464	-0.003	-0.516	0.000	0.243	-0.003
314.7285	-0.122	0.329	-0.006	-0.515	0.000	0.243	-0.003
314.72875	-0.122	0.071	-0.011	-0.471	0.000	0.243	-0.002
314.729	-0.122	-0.257	-0.020	-0.397	0.000	0.243	-0.002
314.72925	-0.121	-0.573	-0.031	-0.300	0.000	0.243	-0.002
314.7295	-0.119	-0.794	-0.044	-0.186	-0.000	0.244	-0.002
314.72975	-0.114	-0.863	-0.057	-0.062	0.000	0.243	-0.003
314.73	-0.107	-0.772	-0.067	0.060	0.001	0.243	-0.003
314.73025	-0.097	-0.552	-0.072	0.169	0.000	0.243	-0.002
314.7305	-0.086	-0.264	-0.074	0.253	0.000	0.243	-0.002
314.73075	-0.076	0.026	-0.070	0.308	0.000	0.244	-0.003
314.731	-0.066	0.271	-0.064	0.337	0.000	0.244	-0.002
314.73125	-0.059	0.447	-0.056	0.347	0.001	0.243	-0.003
314.7315	-0.054	0.555	-0.048	0.349	0.000	0.243	-0.003
314.73175	-0.050	0.605	-0.038	0.349	0.001	0.243	-0.002
314.732	-0.048	0.607	-0.028	0.344	0.000	0.243	-0.003
314.73225	-0.044	0.566	-0.016	0.328	0.000	0.243	-0.002
314.7325	-0.039	0.475	-0.002	0.293	0.001	0.243	-0.003
314.73275	-0.031	0.330	0.012	0.237	0.000	0.244	-0.002
314.733	-0.021	0.134	0.025	0.166	0.000	0.243	-0.002
314.73325	-0.010	-0.104	0.037	0.093	0.001	0.243	-0.002
314.7335	-0.001	-0.362	0.046	0.032	-0.000	0.244	-0.002
314.73375	0.005	-0.617	0.052	-0.007	-0.000	0.243	-0.003
