Interval=	0.00025 s		
ExcelDateTime=	4.2864586874586385e+004	5/9/2017 14:05:05.964264		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
70.8505	-0.651	0.160	0.270	0.447	0.000	0.243	-0.002
70.85075	-0.713	0.404	0.129	0.603	0.001	0.244	-0.002
70.851	-0.748	0.648	-0.005	0.738	0.000	0.243	-0.002
70.85125	-0.749	0.781	-0.120	0.833	0.000	0.243	-0.002
70.8515	-0.707	0.763	-0.207	0.869	0.000	0.243	-0.002
70.85175	-0.621	0.632	-0.265	0.841	0.000	0.243	-0.002
70.852	-0.502	0.472	-0.299	0.759	0.000	0.243	-0.002
70.85225	-0.366	0.359	-0.319	0.648	0.000	0.244	-0.002
70.8525	-0.233	0.324	-0.332	0.531	-0.000	0.244	-0.003
70.85275	-0.119	0.341	-0.343	0.422	0.001	0.243	-0.003
70.853	-0.031	0.354	-0.352	0.322	0.000	0.243	-0.003
70.85325	0.031	0.312	-0.353	0.220	0.000	0.243	-0.002
70.8535	0.071	0.200	-0.343	0.104	0.000	0.243	-0.002
70.85375	0.097	0.048	-0.322	-0.036	0.001	0.243	-0.003
70.854	0.113	-0.093	-0.291	-0.196	0.000	0.244	-0.002
70.85425	0.120	-0.176	-0.254	-0.362	0.000	0.244	-0.002
70.8545	0.119	-0.185	-0.218	-0.518	-0.000	0.244	-0.003
70.85475	0.109	-0.137	-0.185	-0.647	0.000	0.243	-0.003
70.855	0.094	-0.075	-0.156	-0.738	0.000	0.243	-0.003
70.85525	0.076	-0.037	-0.130	-0.789	0.000	0.243	-0.003
70.8555	0.059	-0.038	-0.108	-0.801	-0.000	0.243	-0.003
70.85575	0.045	-0.063	-0.087	-0.777	0.000	0.243	-0.003
70.856	0.036	-0.077	-0.069	-0.720	0.000	0.243	-0.002
70.85625	0.028	-0.046	-0.056	-0.629	0.000	0.243	-0.002
70.8565	0.019	0.040	-0.047	-0.507	0.000	0.243	-0.003
70.85675	0.009	0.163	-0.044	-0.360	0.000	0.243	-0.002
70.857	-0.003	0.281	-0.044	-0.198	0.001	0.243	-0.003
70.85725	-0.014	0.347	-0.047	-0.034	0.001	0.243	-0.002
70.8575	-0.023	0.332	-0.051	0.120	0.001	0.243	-0.003
70.85775	-0.028	0.242	-0.054	0.255	0.000	0.243	-0.002
70.858	-0.030	0.112	-0.056	0.368	0.000	0.244	-0.003
70.85825	-0.032	0.003	-0.057	0.463	0.000	0.243	-0.003
70.8585	-0.035	-0.027	-0.057	0.543	0.001	0.243	-0.002
70.85875	-0.039	0.057	-0.056	0.612	0.000	0.243	-0.003
70.859	-0.043	0.259	-0.055	0.668	0.000	0.243	-0.003
70.85925	-0.045	0.547	-0.055	0.709	0.000	0.243	-0.003
70.8595	-0.041	0.869	-0.055	0.734	0.000	0.244	-0.003
70.85975	-0.030	1.168	-0.058	0.745	0.000	0.243	-0.002
70.86	-0.015	1.403	-0.064	0.749	0.000	0.243	-0.002
70.86025	0.001	1.553	-0.073	0.753	0.000	0.243	-0.003
70.8605	0.013	1.624	-0.081	0.764	0.000	0.243	-0.002
70.86075	0.021	1.640	-0.087	0.778	0.000	0.243	-0.003
70.861	0.022	1.632	-0.088	0.784	0.000	0.243	-0.002
70.86125	0.018	1.631	-0.081	0.766	0.001	0.243	-0.002
70.8615	0.014	1.661	-0.066	0.713	0.000	0.243	-0.002
70.86175	0.009	1.731	-0.044	0.626	0.000	0.243	-0.002
70.862	0.006	1.835	-0.017	0.519	0.001	0.244	-0.003
70.86225	0.004	1.947	0.010	0.415	0.000	0.243	-0.002
70.8625	0.001	2.026	0.035	0.336	0.000	0.243	-0.003
70.86275	-0.003	2.024	0.053	0.289	0.001	0.243	-0.003
70.863	-0.007	1.902	0.065	0.265	0.001	0.243	-0.002
70.86325	-0.008	1.649	0.068	0.247	0.001	0.244	-0.002
70.8635	-0.006	1.295	0.066	0.218	0.000	0.244	-0.003
70.86375	0.003	0.914	0.060	0.174	0.000	0.243	-0.002
70.864	0.016	0.600	0.052	0.135	0.000	0.243	-0.003
70.86425	0.031	0.441	0.043	0.130	0.000	0.243	-0.002
70.8645	0.044	0.475	0.035	0.182	0.000	0.243	-0.003
70.86475	0.054	0.673	0.026	0.293	0.000	0.243	-0.002
70.865	0.062	0.942	0.016	0.436	0.000	0.244	-0.003
70.86525	0.069	1.158	0.005	0.567	0.000	0.243	-0.002
70.8655	0.078	1.217	-0.005	0.643	0.000	0.244	-0.003
70.86575	0.091	1.080	-0.012	0.652	0.000	0.243	-0.003
70.866	0.107	0.787	-0.013	0.618	0.000	0.243	-0.003
70.86625	0.122	0.443	-0.008	0.590	0.001	0.242	-0.002
70.8665	0.136	0.169	0.000	0.616	0.000	0.243	-0.003
70.86675	0.148	0.048	0.008	0.710	0.000	0.244	-0.002
70.867	0.160	0.095	0.010	0.841	0.000	0.243	-0.002
70.86725	0.177	0.254	0.005	0.941	0.000	0.243	-0.002
70.8675	0.200	0.436	-0.005	0.944	0.001	0.243	-0.002
70.86775	0.226	0.562	-0.014	0.824	0.000	0.243	-0.002
70.868	0.249	0.601	-0.016	0.615	4.070	0.244	-1.233
70.86825	0.259	0.574	-0.006	0.399	4.956	0.244	-1.316
70.8685	0.249	0.531	0.011	0.260	4.957	0.244	1.144
70.86875	0.219	0.510	0.031	0.236	4.957	0.244	1.312
70.869	0.176	0.518	0.043	0.291	0.875	0.243	0.080
70.86925	0.133	0.524	0.042	0.324	0.001	0.243	0.000
70.8695	0.103	0.489	0.032	0.229	0.001	0.243	-0.001
70.86975	0.093	0.403	0.021	-0.036	0.001	0.243	-0.002
70.87	0.098	0.293	0.024	-0.403	0.001	0.243	-0.002
70.87025	0.106	0.211	0.043	-0.704	0.001	0.243	-0.002
70.8705	0.100	0.184	0.068	-0.739	0.000	0.244	-0.003
70.87075	0.072	0.172	0.071	-0.382	0.001	0.243	-0.002
