Interval=	0.00025 s		
ExcelDateTime=	4.2864586892317864e+004	5/9/2017 14:05:07.496264		
TimeFormat=	StartOfBlock		
DateFormat=			
ChannelTitle=	RTA	RMG	LTA	LMG	Trigger	Vicon	Stim Voltage
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
72.3825	-0.155	0.022	-0.182	0.098	0.001	0.243	-0.003
72.38275	-0.194	0.024	-0.136	0.150	0.000	0.243	-0.002
72.383	-0.252	0.022	-0.105	0.181	0.001	0.243	-0.003
72.38325	-0.332	0.014	-0.083	0.210	0.001	0.243	-0.002
72.3835	-0.433	0.001	-0.065	0.248	0.000	0.243	-0.002
72.38375	-0.551	-0.010	-0.046	0.297	0.000	0.243	-0.002
72.384	-0.675	-0.015	-0.028	0.348	0.000	0.243	-0.003
72.38425	-0.793	-0.012	-0.015	0.383	0.000	0.243	-0.003
72.3845	-0.893	-0.005	-0.012	0.389	0.000	0.244	-0.003
72.38475	-0.963	-0.002	-0.018	0.362	0.000	0.243	-0.002
72.385	-0.998	-0.009	-0.030	0.311	0.000	0.243	-0.003
72.38525	-0.997	-0.026	-0.044	0.252	0.000	0.243	-0.002
72.3855	-0.961	-0.047	-0.054	0.200	0.000	0.243	-0.003
72.38575	-0.897	-0.061	-0.058	0.163	0.000	0.243	-0.003
72.386	-0.807	-0.057	-0.060	0.137	0.000	0.243	-0.002
72.38625	-0.699	-0.032	-0.065	0.111	0.000	0.243	-0.003
72.3865	-0.576	0.005	-0.077	0.072	0.000	0.243	-0.002
72.38675	-0.447	0.041	-0.096	0.010	0.000	0.244	-0.002
72.387	-0.319	0.059	-0.119	-0.072	0.001	0.243	-0.003
72.38725	-0.201	0.054	-0.138	-0.167	0.000	0.243	-0.002
72.3875	-0.100	0.037	-0.148	-0.261	0.000	0.243	-0.003
72.38775	-0.021	0.036	-0.149	-0.343	0.000	0.243	-0.002
72.388	0.038	0.081	-0.145	-0.412	0.001	0.243	-0.003
72.38825	0.082	0.196	-0.146	-0.468	0.000	0.243	-0.002
72.3885	0.115	0.379	-0.159	-0.516	0.000	0.244	-0.002
72.38875	0.144	0.601	-0.182	-0.551	0.001	0.243	-0.002
72.389	0.171	0.814	-0.210	-0.566	0.001	0.243	-0.003
72.38925	0.194	0.966	-0.231	-0.545	0.000	0.243	-0.003
72.3895	0.212	1.020	-0.237	-0.475	0.001	0.243	-0.003
72.38975	0.223	0.967	-0.227	-0.354	0.000	0.244	-0.002
72.39	0.229	0.822	-0.209	-0.195	0.000	0.243	-0.003
72.39025	0.233	0.616	-0.197	-0.023	0.000	0.244	-0.003
72.3905	0.239	0.377	-0.200	0.136	0.000	0.243	-0.002
72.39075	0.249	0.121	-0.218	0.264	0.001	0.243	-0.002
72.391	0.262	-0.148	-0.240	0.360	0.001	0.243	-0.002
72.39125	0.276	-0.432	-0.250	0.440	0.000	0.243	-0.003
72.3915	0.285	-0.720	-0.233	0.522	0.001	0.243	-0.002
72.39175	0.289	-0.984	-0.191	0.616	0.000	0.243	-0.003
72.392	0.289	-1.182	-0.136	0.714	0.001	0.243	-0.002
72.39225	0.290	-1.273	-0.091	0.791	0.000	0.243	-0.002
72.3925	0.296	-1.235	-0.073	0.821	0.000	0.243	-0.003
72.39275	0.306	-1.077	-0.081	0.790	0.000	0.244	-0.002
72.393	0.315	-0.839	-0.099	0.709	4.992	0.243	-1.316
72.39325	0.315	-0.575	-0.101	0.609	4.956	0.244	-1.317
72.3935	0.295	-0.335	-0.067	0.528	4.958	0.244	1.309
72.39375	0.254	-0.145	-0.001	0.485	4.958	0.244	1.311
72.394	0.199	-0.009	0.072	0.468	-0.034	0.244	-0.002
72.39425	0.145	0.087	0.118	0.436	0.001	0.243	0.000
72.3945	0.108	0.155	0.113	0.346	0.001	0.243	-0.001
72.39475	0.096	0.197	0.063	0.184	0.000	0.243	-0.002
72.395	0.107	0.207	0.008	-0.012	0.001	0.244	-0.002
72.39525	0.121	0.186	0.003	-0.156	0.001	0.244	-0.002
72.3955	0.115	0.149	0.079	-0.145	0.000	0.244	-0.002
72.39575	0.070	0.134	0.214	0.093	0.000	0.243	-0.003
72.396	-0.016	0.184	0.325	0.547	0.001	0.243	-0.003
72.39625	-0.122	0.322	0.286	1.111	0.000	0.243	-0.002
72.3965	-0.213	0.524	-0.010	1.607	0.000	0.243	-0.002
72.39675	-0.246	0.713	-0.591	1.847	0.000	0.243	-0.003
72.397	-0.195	0.776	-1.367	1.707	0.001	0.243	-0.002
72.39725	-0.057	0.613	-2.126	1.175	0.000	0.243	-0.002
