Interval=	0.00025 s
ExcelDateTime=	4.2696564859723469e+004	11/22/2016 13:33:23.880108
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
29.94	-0.021	-0.000
29.94025	-0.021	0.000
29.9405	-0.021	0.000
29.94075	-0.021	0.001
29.941	-0.021	-0.000
29.94125	-0.021	0.001
29.9415	-0.021	-0.000
29.94175	-0.021	0.000
29.942	-0.021	0.000
29.94225	-0.021	0.000
29.9425	-0.021	0.000
29.94275	-0.021	0.000
29.943	-0.021	0.001
29.94325	-0.021	0.000
29.9435	-0.021	0.000
29.94375	-0.021	0.000
29.944	-0.021	-0.000
29.94425	-0.021	0.000
29.9445	-0.021	0.000
29.94475	-0.021	0.000
29.945	-0.021	0.000
29.94525	-0.021	0.000
29.9455	-0.021	0.000
29.94575	-0.021	-0.000
29.946	-0.021	0.001
29.94625	-0.021	0.000
29.9465	-0.021	0.000
29.94675	-0.021	0.000
29.947	-0.021	0.000
29.94725	-0.021	0.000
29.9475	-0.021	0.001
29.94775	-0.021	0.000
29.948	-0.021	0.000
29.94825	-0.021	0.001
29.9485	-0.021	0.000
29.94875	-0.021	0.000
29.949	-0.021	0.001
29.94925	-0.021	-0.000
29.9495	-0.021	-0.000
29.94975	-0.033	0.000
29.95	-0.046	-0.001
29.95025	-0.058	-0.000
29.9505	-0.061	0.000
29.95075	-0.050	0.001
29.951	-0.030	0.000
29.95125	-0.011	0.000
29.9515	-0.004	-0.001
29.95175	-0.005	0.000
29.952	-0.010	0.000
29.95225	-0.022	0.000
29.9525	-0.045	0.000
29.95275	-0.075	0.000
29.953	-0.096	0.000
29.95325	-0.103	0.001
29.9535	-0.104	0.000
29.95375	-0.103	0.001
29.954	-0.100	0.000
29.95425	-0.089	0.000
29.9545	-0.070	0.000
29.95475	-0.047	0.000
29.955	-0.024	0.000
29.95525	-0.003	0.000
29.9555	0.019	0.000
29.95575	0.046	0.000
29.956	0.067	0.000
29.95625	0.048	0.000
29.9565	-0.035	-0.000
29.95675	-0.172	0.000
29.957	-0.334	-0.000
29.95725	-0.497	0.000
29.9575	-0.648	0.000
29.95775	-0.765	0.001
29.958	-0.826	0.000
29.95825	-0.838	0.000
29.9585	-0.825	-0.000
29.95875	-0.795	0.000
29.959	-0.744	0.000
29.95925	-0.675	0.000
29.9595	-0.584	-0.000
29.95975	-0.455	0.000
29.96	-0.287	0.001
29.96025	-0.130	0.000
29.9605	-0.029	-0.000
29.96075	0.031	0.000
29.961	0.081	-0.000
29.96125	0.078	-0.000
29.9615	-0.044	4.955
