Interval=	0.00025 s
ExcelDateTime=	4.2696564851361203e+004	11/22/2016 13:33:23.157608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RMG	Stim
Range=	10.000 V	10.000 V
29.2175	1.123	0.000
29.21775	1.097	0.000
29.218	1.080	0.000
29.21825	1.071	0.000
29.2185	1.062	0.000
29.21875	1.045	0.001
29.219	0.998	0.000
29.21925	0.926	0.000
29.2195	0.840	0.000
29.21975	0.755	0.001
29.22	0.677	0.000
29.22025	0.612	0.000
29.2205	0.564	0.000
29.22075	0.532	-0.000
29.221	0.529	0.000
29.22125	0.553	0.000
29.2215	0.591	0.000
29.22175	0.620	-0.000
29.222	0.629	0.000
29.22225	0.629	-0.000
29.2225	0.627	0.000
29.22275	0.623	0.000
29.223	0.614	0.001
29.22325	0.601	0.001
29.2235	0.584	0.000
29.22375	0.566	0.000
29.224	0.551	0.000
29.22425	0.542	0.001
29.2245	0.540	0.000
29.22475	0.541	0.000
29.225	0.545	0.001
29.22525	0.550	0.000
29.2255	0.545	0.001
29.22575	0.522	0.000
29.226	0.482	-0.000
29.22625	0.440	0.000
29.2265	0.404	0.000
29.22675	0.384	0.001
29.227	0.385	0.000
29.22725	0.402	0.000
29.2275	0.424	0.000
29.22775	0.449	0.001
29.228	0.482	0.001
29.22825	0.517	0.001
29.2285	0.547	0.001
29.22875	0.574	0.001
29.229	0.599	0.000
29.22925	0.631	0.000
29.2295	0.667	0.000
29.22975	0.694	0.001
29.23	0.699	0.000
29.23025	0.681	0.000
29.2305	0.652	0.000
29.23075	0.625	0.001
29.231	0.595	0.000
29.23125	0.558	0.000
29.2315	0.511	0.000
29.23175	0.454	0.000
29.232	0.392	0.000
29.23225	0.318	0.000
29.2325	0.221	0.000
29.23275	0.092	0.000
29.233	-0.045	0.000
29.23325	-0.170	0.000
29.2335	-0.268	-0.000
29.23375	-0.338	0.001
29.234	-0.385	0.000
29.23425	-0.424	0.000
29.2345	-0.464	0.000
29.23475	-0.480	0.000
29.235	-0.448	0.000
29.23525	-0.341	0.000
29.2355	-0.150	0.000
29.23575	0.073	-0.000
29.236	0.274	0.000
29.23625	0.409	0.000
29.2365	0.446	4.956
29.23675	0.663	4.957
29.237	0.606	0.000
29.23725	0.504	0.000
29.2375	0.423	0.001
29.23775	0.361	0.000
29.238	0.316	0.001
29.23825	0.270	0.000
29.2385	0.181	0.000
29.23875	0.017	0.000
29.239	-0.227	0.000
29.23925	-0.507	-0.000
29.2395	-0.756	0.000
29.23975	-0.953	0.000
29.24	-1.060	0.000
29.24025	-0.992	0.000
29.2405	-0.714	0.000
29.24075	-0.331	0.000
29.241	-0.043	0.001
29.24125	-0.044	0.000
29.2415	-0.433	-0.000
29.24175	-1.154	0.000
29.242	-1.921	0.000
29.24225	-2.317	0.000
29.2425	-2.061	0.000
29.24275	-1.122	0.000
29.243	0.265	0.000
29.24325	1.701	0.000
29.2435	2.873	0.000
29.24375	3.650	0.001
29.244	4.083	0.000
29.24425	4.221	-0.000
29.2445	4.074	0.000
29.24475	3.772	0.001
29.245	3.423	0.000
29.24525	3.092	0.000
29.2455	2.806	0.000
29.24575	2.579	0.000
29.246	2.419	0.001
29.24625	2.303	0.001
29.2465	2.205	0.000
29.24675	2.105	0.000
29.247	2.000	0.000
29.24725	1.895	0.000
29.2475	1.796	0.001
29.24775	1.713	0.001
29.248	1.649	0.000
29.24825	1.607	0.001
29.2485	1.579	0.001
29.24875	1.558	0.000
29.249	1.540	0.000
29.24925	1.530	0.000
29.2495	1.535	0.000
29.24975	1.555	0.001
29.25	1.595	0.000
29.25025	1.653	0.001
29.2505	1.762	0.001
29.25075	1.968	0.000
29.251	2.204	0.001
29.25125	2.396	0.001
29.2515	2.516	0.000
29.25175	2.573	0.001
29.252	2.575	0.000
29.25225	2.519	0.001
29.2525	2.425	0.000
29.25275	2.324	0.000
29.253	2.253	0.001
29.25325	2.226	0.000
29.2535	2.230	0.001
29.25375	2.253	0.000
29.254	2.284	0.000
29.25425	2.304	-0.000
29.2545	2.305	0.000
29.25475	2.292	0.001
29.255	2.272	0.001
29.25525	2.273	0.000
29.2555	2.291	0.000
29.25575	2.290	0.000
29.256	2.223	0.000
29.25625	2.032	0.000
29.2565	1.730	0.001
29.25675	1.393	0.001
29.257	1.090	0.001
29.25725	0.893	0.000
29.2575	0.826	0.000
29.25775	0.836	0.000
29.258	0.866	0.001
29.25825	0.872	0.001
29.2585	0.830	0.001
29.25875	0.741	0.000
29.259	0.636	0.000
29.25925	0.552	0.000
29.2595	0.508	0.000
29.25975	0.507	0.000
29.26	0.507	-0.000
29.26025	0.518	0.001
29.2605	0.570	0.000
29.26075	0.634	0.001
29.261	0.567	0.000
29.26125	0.287	0.000
29.2615	-0.103	4.956
29.26175	-0.275	4.958
29.262	-0.790	0.001
29.26225	-1.398	0.001
29.2625	-1.911	0.000
29.26275	-2.212	0.000
29.263	-2.216	0.001
29.26325	-1.980	0.000
29.2635	-1.670	0.000
29.26375	-1.454	0.000
29.264	-1.402	0.000
29.26425	-1.417	0.000
29.2645	-1.409	0.000
29.26475	-1.304	0.000
29.265	-1.079	0.000
29.26525	-0.834	0.000
29.2655	-0.549	0.000
29.26575	-0.375	0.001
29.266	-0.786	0.000
29.26625	-2.040	0.000
29.2665	-3.879	0.000
29.26675	-5.635	0.001
29.267	-6.719	-0.000
29.26725	-6.874	0.000
29.2675	-6.057	0.001
29.26775	-4.485	0.000
29.268	-2.568	0.000
29.26825	-0.681	0.000
29.2685	0.951	0.001
29.26875	2.234	0.000
29.269	3.180	0.000
29.26925	3.823	-0.000
29.2695	4.199	0.001
29.26975	4.361	0.000
29.27	4.385	0.001
29.27025	4.298	0.000
29.2705	4.121	0.000
29.27075	3.892	0.001
29.271	3.662	0.000
29.27125	3.441	0.001
29.2715	3.220	0.001
29.27175	2.990	0.000
29.272	2.755	0.000
29.27225	2.526	0.000
29.2725	2.318	0.000
29.27275	2.140	0.000
29.273	1.987	0.001
29.27325	1.861	0.000
29.2735	1.767	0.000
29.27375	1.698	0.001
29.274	1.658	0.000
29.27425	1.647	0.000
29.2745	1.660	0.000
29.27475	1.696	0.000
29.275	1.744	0.001
29.27525	1.799	0.001
29.2755	1.884	0.001
29.27575	1.978	0.001
29.276	1.937	0.000
29.27625	1.707	0.000
29.2765	1.298	0.000
29.27675	0.825	0.001
29.277	0.433	0.001
29.27725	0.153	0.000
29.2775	0.022	0.000
29.27775	0.046	0.000
29.278	0.133	-0.000
29.27825	0.250	0.000
29.2785	0.427	0.001
29.27875	0.690	0.000
29.279	1.024	-0.000
29.27925	1.428	0.000
29.2795	1.901	0.000
29.27975	2.395	0.000
29.28	2.857	0.000
29.28025	3.321	0.000
29.2805	3.675	0.000
29.28075	3.744	0.001
29.281	3.453	0.001
29.28125	2.859	0.000
29.2815	2.156	0.000
29.28175	1.564	0.001
29.282	1.185	0.000
29.28225	1.018	0.000
29.2825	1.020	0.000
29.28275	1.133	-0.000
29.283	1.304	0.000
29.28325	1.524	0.001
29.2835	1.776	0.000
29.28375	2.024	0.000
29.284	2.239	0.001
29.28425	2.400	0.000
29.2845	2.514	0.001
29.28475	2.567	-0.000
29.285	2.443	0.000
29.28525	2.087	0.000
29.2855	1.562	0.001
29.28575	0.997	0.001
29.286	0.474	0.000
29.28625	0.070	0.000
29.2865	-0.209	4.955
29.28675	-0.125	4.957
29.287	-0.206	0.001
29.28725	-0.256	0.001
29.2875	-0.203	0.001
29.28775	-0.113	0.001
29.288	0.046	0.000
29.28825	0.367	0.000
29.2885	0.628	0.000
29.28875	0.470	0.000
29.289	-0.195	0.001
