Interval=	0.00025 s
ExcelDateTime=	4.2696562165282427e+004	11/22/2016 13:29:31.080401
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	RTA	Stim
Range=	10.000 V	10.000 V
21.8375	-0.039	0.000
21.83775	-0.039	0.001
21.838	-0.040	0.000
21.83825	-0.041	0.000
21.8385	-0.040	0.000
21.83875	-0.041	0.000
21.839	-0.042	0.000
21.83925	-0.043	0.000
21.8395	-0.043	0.000
21.83975	-0.044	-0.000
21.84	-0.048	0.000
21.84025	-0.053	0.001
21.8405	-0.060	0.000
21.84075	-0.068	0.000
21.841	-0.075	0.000
21.84125	-0.082	0.000
21.8415	-0.087	0.000
21.84175	-0.087	-0.000
21.842	-0.085	0.000
21.84225	-0.086	-0.000
21.8425	-0.087	-0.000
21.84275	-0.086	-0.000
21.843	-0.086	0.000
21.84325	-0.085	0.000
21.8435	-0.082	0.001
21.84375	-0.081	0.000
21.844	-0.081	0.000
21.84425	-0.079	0.000
21.8445	-0.077	0.001
21.84475	-0.073	-0.000
21.845	-0.072	0.000
21.84525	-0.072	-0.000
21.8455	-0.073	0.000
21.84575	-0.076	0.000
21.846	-0.080	0.000
21.84625	-0.087	0.001
21.8465	-0.094	-0.000
21.84675	-0.103	0.000
21.847	-0.111	0.000
21.84725	-0.118	0.001
21.8475	-0.120	0.000
21.84775	-0.125	-0.001
21.848	-0.129	0.001
21.84825	-0.137	0.000
21.8485	-0.147	0.001
21.84875	-0.160	0.001
21.849	-0.174	0.000
21.84925	-0.186	0.001
21.8495	-0.195	0.000
21.84975	-0.201	0.001
21.85	-0.200	0.000
21.85025	-0.192	-0.000
21.8505	-0.184	0.000
21.85075	-0.176	0.000
21.851	-0.168	0.000
21.85125	-0.163	0.000
21.8515	-0.158	0.000
21.85175	-0.152	0.000
21.852	-0.146	0.000
21.85225	-0.140	-0.000
21.8525	-0.136	0.000
21.85275	-0.132	0.000
21.853	-0.129	0.000
21.85325	-0.127	0.000
21.8535	-0.124	0.000
21.85375	-0.120	0.000
21.854	-0.116	0.000
21.85425	-0.113	0.000
21.8545	-0.110	0.001
21.85475	-0.107	0.000
21.855	-0.103	0.000
21.85525	-0.100	-0.000
21.8555	-0.097	0.001
21.85575	-0.096	0.000
21.856	-0.096	-0.000
21.85625	-0.096	0.000
21.8565	-0.098	0.000
21.85675	-0.102	0.001
21.857	-0.105	0.000
21.85725	-0.103	0.000
21.8575	-0.090	0.000
21.85775	-0.060	0.000
21.858	-0.018	0.000
21.85825	0.026	0.000
21.8585	0.069	0.000
21.85875	0.099	0.000
21.859	0.104	0.000
21.85925	0.084	0.000
21.8595	0.039	0.000
21.85975	-0.016	-0.000
21.86	-0.072	0.001
21.86025	-0.118	0.000
21.8605	-0.153	-0.000
21.86075	-0.180	0.000
21.861	-0.200	0.000
21.86125	-0.217	0.000
21.8615	-0.234	0.000
21.86175	-0.249	0.001
21.862	-0.267	0.000
21.86225	-0.280	0.001
21.8625	-0.268	0.000
21.86275	-0.217	0.000
21.863	-0.141	0.000
21.86325	-0.072	0.000
21.8635	-0.043	-0.000
21.86375	-0.068	-0.000
21.864	-0.134	0.000
21.86425	-0.214	-0.000
21.8645	-0.276	0.000
21.86475	-0.302	0.000
21.865	-0.310	0.000
21.86525	-0.313	0.000
21.8655	-0.309	-0.000
21.86575	-0.293	0.000
21.866	-0.236	0.000
21.86625	-0.151	0.000
21.8665	-0.067	0.001
21.86675	0.001	0.001
21.867	0.031	0.000
21.86725	0.007	-0.000
21.8675	-0.052	0.000
21.86775	-0.117	0.000
21.868	-0.179	0.000
21.86825	-0.233	0.000
21.8685	-0.276	-0.000
21.86875	-0.311	0.000
21.869	-0.328	0.000
21.86925	-0.326	0.000
21.8695	-0.323	0.001
21.86975	-0.308	0.000
21.87	-0.267	0.000
21.87025	-0.207	-0.001
21.8705	-0.145	-0.000
21.87075	-0.087	0.000
21.871	-0.041	-0.000
21.87125	-0.007	0.000
21.8715	0.001	0.000
21.87175	-0.012	-0.000
21.872	-0.035	0.000
21.87225	-0.065	-0.000
21.8725	-0.095	0.000
21.87275	-0.120	0.000
21.873	-0.138	0.000
21.87325	-0.150	-0.000
21.8735	-0.162	0.001
21.87375	-0.170	0.000
21.874	-0.180	0.902
21.87425	-0.369	4.957
21.8745	-0.603	0.001
21.87475	-0.558	0.000
21.875	-0.460	0.000
21.87525	-0.343	0.000
21.8755	-0.228	0.000
21.87575	-0.140	0.000
21.876	-0.095	0.000
21.87625	-0.098	0.000
21.8765	-0.131	0.000
21.87675	-0.166	0.000
21.877	-0.177	0.000
21.87725	-0.163	0.000
21.8775	-0.135	-0.001
21.87775	-0.102	0.000
21.878	-0.056	0.000
21.87825	0.017	0.000
21.8785	0.115	-0.001
21.87875	0.191	0.000
21.879	0.028	0.000
21.87925	-0.385	0.000
21.8795	-0.752	0.000
21.87975	-0.894	0.000
21.88	-0.784	-0.000
21.88025	-0.583	0.001
21.8805	-0.519	0.000
21.88075	-0.634	0.000
21.881	-0.761	0.000
21.88125	-0.858	0.001
21.8815	-0.913	0.000
21.88175	-0.891	0.000
21.882	-0.766	0.000
21.88225	-0.582	0.000
21.8825	-0.393	0.000
21.88275	-0.227	0.000
21.883	-0.094	0.001
21.88325	0.020	0.000
21.8835	0.104	0.000
21.88375	0.152	-0.000
21.884	0.173	0.000
21.88425	0.180	0.000
21.8845	0.171	0.000
21.88475	0.145	0.000
21.885	0.109	0.000
21.88525	0.072	0.000
21.8855	0.037	-0.000
21.88575	0.010	0.000
21.886	0.001	-0.000
21.88625	0.007	0.000
21.8865	-0.020	0.000
21.88675	-0.045	-0.000
21.887	-0.054	0.000
21.88725	-0.063	0.000
21.8875	-0.082	0.000
21.88775	-0.117	0.000
21.888	-0.162	0.000
21.88825	-0.205	0.000
21.8885	-0.238	0.000
21.88875	-0.251	0.000
21.889	-0.239	0.000
21.88925	-0.215	0.000
21.8895	-0.186	0.000
21.88975	-0.154	0.000
21.89	-0.126	0.000
21.89025	-0.101	0.001
21.8905	-0.089	0.000
21.89075	-0.089	-0.000
21.891	-0.099	0.000
21.89125	-0.118	0.000
21.8915	-0.138	0.000
21.89175	-0.150	0.001
21.892	-0.147	0.000
21.89225	-0.134	0.000
21.8925	-0.110	0.000
21.89275	-0.079	0.001
21.893	-0.046	0.000
21.89325	-0.008	0.000
21.8935	0.052	0.000
21.89375	0.127	0.000
21.894	0.196	-0.000
21.89425	0.241	0.000
21.8945	0.236	0.000
21.89475	0.191	0.000
21.895	0.122	-0.000
21.89525	0.056	0.001
21.8955	-0.003	0.000
21.89575	-0.047	0.000
21.896	-0.077	0.000
21.89625	-0.077	0.000
21.8965	-0.078	0.000
21.89675	-0.087	-0.000
21.897	-0.096	0.001
21.89725	-0.102	0.001
21.8975	-0.096	0.000
21.89775	-0.079	-0.001
21.898	-0.056	0.000
21.89825	-0.034	0.000
21.8985	-0.022	0.000
21.89875	-0.019	0.000
21.899	-0.025	0.000
21.89925	-0.032	0.000
21.8995	-0.041	0.000
21.89975	-0.050	-0.000
21.9	-0.048	0.000
21.90025	-0.036	0.000
21.9005	-0.016	0.000
21.90075	0.005	0.000
21.901	0.030	0.001
21.90125	0.054	0.000
21.9015	0.072	0.000
21.90175	0.079	0.001
21.902	0.070	0.000
21.90225	0.042	0.000
21.9025	0.005	0.000
21.90275	-0.028	0.000
21.903	-0.054	0.000
21.90325	-0.072	0.000
21.9035	-0.085	-0.000
21.90375	-0.093	0.001
21.904	-0.102	0.000
21.90425	-0.113	0.000
21.9045	-0.121	0.000
21.90475	-0.125	0.000
21.905	-0.127	0.000
21.90525	-0.126	0.000
21.9055	-0.123	0.000
21.90575	-0.118	0.000
21.906	-0.114	0.000
21.90625	-0.109	0.000
21.9065	-0.104	0.000
21.90675	-0.099	0.000
21.907	-0.092	0.000
21.90725	-0.085	0.001
21.9075	-0.079	0.000
21.90775	-0.072	0.000
21.908	-0.066	0.000
21.90825	-0.059	-0.000
21.9085	-0.046	0.000
21.90875	-0.030	-0.000
21.909	-0.016	0.000
21.90925	-0.003	0.000
21.9095	0.015	0.000
21.90975	0.041	0.000
21.91	0.082	0.000
21.91025	0.134	0.000
21.9105	0.192	0.000
21.91075	0.247	0.000
21.911	0.294	0.000
21.91125	0.322	0.000
21.9115	0.320	0.000
21.91175	0.283	-0.000
21.912	0.232	-0.000
21.91225	0.183	0.000
21.9125	0.138	0.000
21.91275	0.103	0.000
21.913	0.086	0.000
21.91325	0.085	0.001
21.9135	0.094	-0.000
21.91375	0.111	-0.000
21.914	0.131	0.000
21.91425	0.141	0.000
21.9145	0.128	0.000
21.91475	0.088	0.000
21.915	0.030	0.000
21.91525	-0.035	0.000
21.9155	-0.098	0.000
21.91575	-0.150	0.000
21.916	-0.187	0.000
21.91625	-0.208	-0.001
21.9165	-0.210	0.000
21.91675	-0.195	-0.000
21.917	-0.167	0.000
21.91725	-0.128	0.001
21.9175	-0.054	-0.000
21.91775	0.041	0.000
21.918	0.129	0.000
21.91825	0.189	0.000
21.9185	0.199	0.000
21.91875	0.159	0.000
21.919	0.084	0.000
21.91925	-0.000	0.000
21.9195	-0.071	0.000
21.91975	-0.121	-0.000
21.92	-0.154	0.000
21.92025	-0.180	0.000
21.9205	-0.234	0.000
21.92075	-0.309	0.000
21.921	-0.395	0.000
21.92125	-0.459	-0.000
21.9215	-0.482	0.000
21.92175	-0.467	-0.000
21.922	-0.426	0.000
21.92225	-0.371	0.000
21.9225	-0.309	0.000
21.92275	-0.246	0.000
21.923	-0.186	0.000
21.92325	-0.129	0.000
21.9235	-0.069	0.000
21.92375	-0.015	-0.000
21.924	0.020	1.087
21.92425	-0.157	4.957
21.9245	-0.393	0.001
21.92475	-0.362	0.000
21.925	-0.291	0.000
21.92525	-0.218	0.001
21.9255	-0.154	0.000
21.92575	-0.099	0.000
21.926	-0.053	0.000
21.92625	-0.020	0.000
21.9265	0.006	0.000
21.92675	0.021	0.000
21.927	0.029	0.000
21.92725	0.033	0.000
21.9275	0.037	0.000
21.92775	0.057	0.001
21.928	0.084	0.000
21.92825	0.098	0.000
21.9285	0.094	0.000
21.92875	0.071	0.000
21.929	0.008	0.001
21.92925	-0.124	0.001
21.9295	-0.300	0.000
21.92975	-0.442	0.000
21.93	-0.474	0.000
21.93025	-0.385	0.000
21.9305	-0.297	0.000
